"iter","E21","E11","E22","E12"
11442,-951.647,-1930.12,-489.714,-1102.25
11443,-642.846,-1801.83,-578.041,-1312.74
11444,-630.661,-1889.76,-588.796,-1338.04
11445,-414.928,-1839.33,-654.778,-1136.85
11446,-473.609,-1776.24,-624.998,-1164.82
11447,-342.223,-1655.24,-657.734,-1225.44
11448,-241.417,-1975,-616.915,-1192.62
11449,-352.359,-1900.21,-701.952,-1371.36
11450,-615.387,-1883.07,-743.597,-1232.31
11451,-894.874,-1925.56,-771.956,-1262.49
11452,-906.437,-1649.62,-783.464,-1127.61
11453,-374.386,-1745.45,-713.98,-1227.24
11454,-815.48,-1848.19,-671.938,-1272.96
11455,-347.492,-1840.69,-606.352,-1240.7
11456,-290.997,-1774.89,-489.18,-1086.84
11457,-379.798,-1745.01,-512.494,-1220.78
11458,-444.303,-1840.62,-516.328,-1217.34
11459,-732.909,-1907.2,-601.26,-1113.44
11460,-307.75,-1689.13,-599.057,-1188.28
11461,-347.64,-1698.97,-626.481,-1288.85
11462,-284.521,-1669.74,-599.3,-1184.94
11463,-451.999,-1797.25,-753.722,-1247.37
11464,-410.527,-1829.58,-736.084,-1388.17
11465,-410.383,-1977.78,-548.306,-1043.43
11466,-412.255,-1988.13,-641.557,-1177.49
11467,-303.769,-1797.5,-743.054,-1177.68
11468,-278.753,-1874.6,-586.465,-1167.62
11469,-438.551,-1744.84,-720.135,-1351.96
11470,-404.698,-1920.24,-683.565,-1258.63
11471,-755.819,-1866.35,-718.597,-1094.06
11472,-896.096,-1737.09,-711.71,-1211.48
11473,-615.655,-1807.85,-640.994,-1211.22
11474,-388.532,-1824.43,-684.555,-1198.48
11475,-467.724,-1771.25,-668.071,-1242.2
11476,-372.86,-1864.61,-602.632,-1439.83
11477,-402.066,-1822.1,-724.063,-1214.34
11478,-463.159,-1910.92,-418.714,-1354.28
11479,-327.659,-1907.68,-518.705,-1264.07
11480,-308.68,-1840.56,-526.082,-1270.08
11481,-339.925,-1795.3,-467.926,-1252.51
11482,-286.703,-1711.88,-790.147,-1222.64
11483,-481.313,-1775.17,-759.164,-1168.61
11484,-330.168,-1846.96,-616.717,-1269.95
11485,-525.425,-1634.18,-689.105,-1416.53
11486,-462.726,-1820.31,-738.884,-1425.42
11487,-847.915,-1601.99,-673.892,-1268.99
11488,-867.736,-1774.27,-643.6,-1219.85
11489,-941.128,-1757.4,-822.463,-1307.31
11490,-1011.59,-1742.05,-530.505,-1183.67
11491,-358.398,-1812.48,-655.914,-1029.51
11492,-305.589,-1897.31,-693.923,-1209.17
11493,-230.561,-1814.28,-721.44,-1216.18
11494,-734.071,-1867.76,-547.223,-1157.96
11495,-1073.37,-1790.01,-466.223,-1141.11
11496,-880.341,-1737.61,-582.633,-1270.27
11497,-815.769,-1817.06,-698.708,-1266.19
11498,-1034.56,-1876.11,-643.289,-1204.86
11499,-453.672,-1858.83,-492.412,-1297.87
11500,-357.44,-1929.44,-605.127,-1122.67
11501,-389.722,-1862.38,-535.92,-1262.7
11502,-406.555,-1601.83,-569.271,-1274.61
11503,-478.397,-1837.75,-536.811,-1367.4
11504,-463.383,-1783.62,-488.535,-1141.86
11505,-307.337,-1894.58,-641.941,-1187.2
11506,-363.495,-1642.03,-687.318,-1107.29
11507,-376.09,-1770.96,-727.331,-1264.05
11508,-398.543,-1949.99,-687.143,-1302.81
11509,-854.579,-1911.4,-674.744,-1308.76
11510,-898.655,-1907.24,-598.992,-1144.55
11511,-893.411,-1856.36,-677.114,-1330.37
11512,-927.525,-1807.86,-759.116,-1127.88
11513,-670.367,-1579.25,-688.489,-1160.3
11514,-1039.26,-1879.38,-803.324,-1045.76
11515,-877.149,-1908.57,-690.249,-1262.87
11516,-868.757,-1646.1,-721.578,-1207.66
11517,-748.259,-1971.86,-593.064,-1180.35
11518,-550.067,-1775.43,-661.756,-1164.85
11519,-857.219,-1902.87,-685.289,-1360.89
11520,-413.888,-1842.06,-646.424,-1348.17
11521,-300.397,-1768.65,-725.796,-1281.04
11522,-339.101,-1963.82,-765.744,-1443.37
11523,-208.589,-1609.92,-729.734,-1185.94
11524,-412.699,-1755.86,-630.303,-1163.14
11525,-249.761,-1778.17,-657.011,-1236.64
11526,-486.869,-1720.29,-705.307,-1313.63
11527,-423.078,-1777.07,-652.261,-1230.54
11528,-267.121,-1912.92,-559.61,-1245.34
11529,-289.718,-1895.39,-721.102,-1194.74
11530,-515.761,-1946.85,-658.419,-1236.11
11531,-513.735,-1699.92,-911.842,-1066.59
11532,-500.87,-1703.36,-554.097,-1235.58
