# ChronoModel 2.0.18
# pions.chr
# Date Format : BC/AD
iter;Noir Begin;Noir End;S4;S5;S6
11280;343,575083201455;685,806077421845;343,575083201455;388,485410264797;685,806077421845
11281;326,283664905261;605,528405941777;326,283664905261;351,288480998724;605,528405941777
11282;353,113546173885;558,10420496887;353,113546173885;389,581498823944;558,10420496887
11283;332,491323173862;654,982422293374;332,491323173862;408,888738683103;654,982422293374
11284;351,678517034971;615,760061629204;351,678517034971;404,493510729208;615,760061629204
11285;373,278255609657;576,204943488619;373,278255609657;430,204474464356;576,204943488619
11286;327,194791073338;641,472704449168;327,194791073338;382,058550584081;641,472704449168
11287;415,520439970492;692,586495980078;415,520439970492;453,584962862313;692,586495980078
11288;351,058284153411;613,470006201393;351,058284153411;449,972131020894;613,470006201393
11289;379,709773183418;616,901588281399;379,709773183418;416,045254091608;616,901588281399
11290;343,580011525073;633,477415446463;343,580011525073;351,787178531678;633,477415446463
11291;312,550588936678;489,866755364603;312,550588936678;444,015682818267;489,866755364603
11292;351,634685900496;610,124270476525;351,634685900496;391,697078277586;610,124270476525
11293;343,743104379552;639,318921845578;343,743104379552;386,709090472457;639,318921845578
11294;338,327380813424;577,498690695059;338,327380813424;387,828961872872;577,498690695059
11295;344,025752417779;574,00348969339;344,025752417779;439,980140263542;574,00348969339
11296;375,823927486243;679,592626585052;375,823927486243;384,155282901336;679,592626585052
11297;349,225921021031;649,286257694775;349,225921021031;376,11597377705;649,286257694775
11298;323,748361595174;648,555812769136;323,748361595174;405,133792089771;648,555812769136
11299;334,364694576427;602,905837807464;334,364694576427;445,207536560136;602,905837807464
11300;337,678900254014;592,78034515975;337,678900254014;435,102756457227;592,78034515975
11301;361,728027121756;641,212161702162;361,728027121756;412,200981265194;641,212161702162
11302;348,367267166233;579,497036310632;348,367267166233;405,589723544045;579,497036310632
11303;350,528006986429;645,052451480244;350,528006986429;430,373898054042;645,052451480244
11304;316,860114479006;604,304005826712;316,860114479006;437,73799777097;604,304005826712
11305;360,279937893662;433,949790769881;360,279937893662;429,055388381646;433,949790769881
11306;398,741277562126;559,221685881481;398,741277562126;400,781532423248;559,221685881481
11307;370,89113371185;665,838841399495;370,89113371185;394,445215665247;665,838841399495
11308;354,53048659308;599,792894209178;354,53048659308;397,482551169453;599,792894209178
11309;352,662559370711;535,306664854454;352,662559370711;441,418176871663;535,306664854454
11310;370,43126509756;524,972778216692;370,43126509756;413,42202740759;524,972778216692
11311;343,984376550528;656,762487972954;343,984376550528;470,985330511738;656,762487972954
11312;367,787405682831;602,40367820414;367,787405682831;392,157472041794;602,40367820414
11313;340,819543667542;618,500307484192;340,819543667542;436,547228994494;618,500307484192
11314;348,328859046282;549,38200944724;348,328859046282;441,837090595309;549,38200944724
11315;311,659060246908;613,413792752253;311,659060246908;408,86463186157;613,413792752253
11316;313,108887579376;596,978961912962;313,108887579376;439,121378035233;596,978961912962
11317;327,685104802906;612,840757536359;327,685104802906;414,251942653158;612,840757536359
11318;324,667476510694;600,520017728832;324,667476510694;389,684806408222;600,520017728832
11319;315,223089911269;626,121513440279;315,223089911269;400,836400689174;626,121513440279
11320;381,158957718656;664,281627282605;381,158957718656;429,59094627995;664,281627282605
11321;317,384719062809;648,558010047308;317,384719062809;409,625264743969;648,558010047308
11322;368,39249279365;612,611504209119;368,39249279365;399,060786860501;612,611504209119
11323;352,075967661989;582,060867959376;352,075967661989;448,046184343453;582,060867959376
11324;386,943150075487;620,180170777591;386,943150075487;396,358000820563;620,180170777591
11325;331,301032216947;616,200174557413;331,301032216947;420,39937973614;616,200174557413
11326;340,775916447274;654,385406228655;340,775916447274;474,346107288009;654,385406228655
11327;351,173451483752;631,513515297803;351,173451483752;388,65951357479;631,513515297803
11328;352,559471734369;595,565535274631;352,559471734369;409,753463991104;595,565535274631
11329;368,453533070488;625,970527678551;368,453533070488;374,670909429778;625,970527678551
11330;321,718628225434;632,063031087282;321,718628225434;384,864389499942;632,063031087282
11331;379,287763387954;644,138156843129;379,287763387954;388,292531145941;644,138156843129
11332;310,441662266382;613,901945971451;310,441662266382;406,876677811107;613,901945971451
